modzcta,median_income
10001,92840
10002,36982
10003,118161
10004,190223
10005,189702
10006,179044
10007,224063
10009,63717
10010,132988
10011,138272
10012,106467
10013,113191
10014,133501
10016,126628
10017,131045
10018,122484
10019,103792
10020,0
10021,122169
10022,150718
10023,132605
10024,143623
10025,91624
10026,59691
10027,51938
10028,122969
10029,33720
10030,42348
10031,53660
10032,53525
10033,63093
10034,54406
10035,29799
10036,95301
10037,46263
10038,95702
10039,42278
10040,49677
10044,104808
10065,148441
10069,132500
10075,138640
10103,0
10110,0
10111,0
10112,0
10115,0
10119,0
10128,121829
10152,0
10153,0
10154,0
10162,152336
10165,0
10167,0
10168,0
10169,0
10170,0
10171,0
10172,0
10173,0
10174,0
10177,0
10199,0
10271,0
10278,0
10279,0
10280,182760
10282,250000
10301,62052
10302,66096
10303,67215
10304,54199
10305,79742
10306,80834
10307,85103
10308,103027
10309,109457
10310,76075
10311,0
10312,97407
10314,91505
10451,30349
10452,29579
10453,29136
10454,21447
10455,28585
10456,27917
10457,29767
10458,35423
10459,29284
10460,27545
10461,58305
10462,54278
10463,58408
10464,96366
10465,75617
10466,58393
10467,39372
10468,37804
10469,65399
10470,61266
10471,88722
10472,33498
10473,41508
10474,22965
10475,51951
11001,113300
11003,104349
11004,95436
11005,55313
11040,129344
11101,75581
11102,71382
11103,76234
11104,67751
11105,79883
11106,68530
11109,160625
11201,129248
11203,54457
11204,53093
11205,58872
11206,39753
11207,39382
11208,42403
11209,77917
11210,69385
11211,81228
11212,26521
11213,44831
11214,56911
11215,132091
11216,67795
11217,119375
11218,73470
11219,40683
11220,50191
11221,56900
11222,93488
11223,54023
11224,32549
11225,59820
11226,58257
11228,72902
11229,64631
11230,53070
11231,99643
11232,61200
11233,44905
11234,85807
11235,54646
11236,70793
11237,53303
11238,91846
11239,29172
11351,0
11354,40786
11355,42507
11356,61859
11357,85818
11358,68848
11359,0
11360,83063
11361,87892
11362,93333
11363,101019
11364,82028
11365,67642
11366,84301
11367,63546
11368,54211
11369,54184
11370,63706
11371,0
11372,60659
11373,54584
11374,66795
11375,84713
11377,58948
11378,77710
11379,83883
11385,75340
11411,98207
11412,81608
11413,93432
11414,75471
11415,70900
11416,73370
11417,76868
11418,68920
11419,75835
11420,79273
11421,73107
11422,88130
11423,71194
11424,0
11425,0
11426,98987
11427,79385
11428,78368
11429,88300
11430,0
11432,62148
11433,54253
11434,64087
11435,66137
11436,75222
11451,0
11691,50267
11692,46819
11693,60569
11694,84485
11697,105750
