bbl,st_num,st_name,sq_ft,score,grade
1000047501,1,WATER STREET,2542563,61,C
1000050010,115,BROAD STREET,1016406,75,B
1000057501,125,BROAD STREET,1354691,76,B
1000080039,32,PEARL STREET,46724,score missing,F
1000080051,6,WATER STREET,102407,25,D
1000087501,2,WATER STREET,169061,13,D
1000090001,34,WHITEHALL STREET,692431,72,B
1000090014,17,STATE STREET,544015,73,B
1000090029,24,STATE STREET,896956,52,D
1000100014,33,WHITEHALL STREET,365792,60,C
1000100016,90,BROAD STREET,336025,81,B
1000100033,8,STONE STREET,143731,42,D
1000110021,80,BROAD STREET,361710,72,B
1000130001,1,BROADWAY,180646,98,A
1000130005,11,BROADWAY,434220,86,A
1000130027,25,BROADWAY,809401,61,C
1000150022,21,WEST STREET,335746,23,D
1000157501,17,BATTERY PLACE,1402831,84,B
1000157502,20,WEST STREET,259076,26,D
1000160015,50,BATTERY PLACE,239165,79,B
1000160020,70,BATTERY PLACE,230765,60,C
1000160100,345,SOUTH END AVENUE,127720,62,C
1000160120,200,LIBERTY STREET,1501878,77,B
1000160125,225,LIBERTY STREET,2267925,75,B
1000160140,200,VESEY STREET,2233692,80,B
1000160150,250,VESEY STREET,2084079,77,B
1000160180,20,RIVER TERRACE,356786,39,D
1000160185,211,NORTH END AVENUE,283905,20,D
1000160205,455,NORTH END AVENUE,239185,23,D
1000160210,399,CHAMBERS STREET,357000,71,B
1000160220,201,WARREN STREET,105177,42,D
1000160221,450,NORTH END AVENUE,244617,15,D
1000160225,1,NORTH END AVENUE,502000,82,B
1000167501,377,RECTOR PLACE,220821,47,D
1000167502,320,ALBANY STREET,150855,95,A
1000167503,250,SOUTH END AVENUE,106052,37,D
1000167504,300,ALBANY STREET,91774,24,D
1000167505,380,RECTOR PLACE,257092,28,D
1000167506,280,RECTOR PLACE,106631,40,D
1000167507,300,RECTOR PLACE,129176,76,B
1000167508,200,RECTOR PLACE,590974,43,D
1000167509,21,SOUTH END AVENUE,237270,20,D
1000167510,99,BATTERY PLACE,305973,42,D
1000167511,2,SOUTH END AVENUE,189273,21,D
1000167512,102,NORTH END AVENUE,641681,4,D
1000167513,25,BATTERY PLACE,562340,30,D
1000167514,30,WEST STREET,422304,21,D
1000167515,225,RECTOR PLACE,287819,77,B
1000167516,1,RIVER TERRACE,531665,30,D
1000167517,71,BATTERY PLACE,508458,5,D
1000167518,333,RECTOR PLACE,262021,37,D
1000167519,300,NORTH END AVENUE,273018,27,D
1000167520,200,NORTH END AVENUE,425407,18,D
1000167521,212,WARREN STREET,335784,75,B
1000167522,400,CHAMBERS STREET,360656,40,D
1000167523,325,NORTH END AVENUE,302526,12,D
1000170029,90,WASHINGTON STREET,335114,48,D
1000187501,13,RECTOR STREET,366993,11,D
1000200001,29,BROADWAY,316150,79,B
1000200004,39,BROADWAY,447452,78,B
1000200009,45,BROADWAY,368315,63,C
1000200012,47,BROADWAY,27640,score missing,F
1000200016,55,BROADWAY,309381,78,B
1000210001,61,BROADWAY,650740,75,B
1000210004,65,BROADWAY,335184,71,B
1000210006,71,BROADWAY,303086,68,C
1000220017,32,BROADWAY,143000,21,D
1000220020,42,BROADWAY,389927,70,B
1000220024,50,BROADWAY,300676,73,B
1000220028,52,BROADWAY,345540,59,C
1000230019,11,WALL STREET,240279,1,D
1000230050,20,BROAD STREET,466820,100,A
1000240001,60,BROAD STREET,974958,68,C
1000240036,50,BROAD STREET,205940,80,B
1000247501,40,BROAD STREET,319910,11,D
1000250001,55,BROAD STREET,406025,53,D
1000250010,41,BROAD STREET,91553,1,D
1000250027,40,EXCHANGE PLACE,239071,82,B
1000257501,15,WILLIAM STREET,530168,57,C
1000260014,37,WALL STREET,377214,36,D
1000260021,45,WALL STREET,493187,56,C
1000267501,15,BROAD STREET,944252,9,D
1000270009,63,WALL STREET,400531,52,D
1000270017,67,WALL STREET,305271,52,D
1000277501,55,WALL STREET,274516,1,D
1000277502,20,EXCHANGE PLACE,786942,86,A
1000280001,3,HANOVER SQUARE,239121,6,D
1000280012,76,BEAVER STREET,95325,52,D
1000287501,82,BEAVER STREET,108373,5,D
1000290001,85,BROAD STREET,1007569,78,B
1000290036,1,WILLIAM STREET,105000,56,C
1000290070,75,BROAD STREET,661283,35,D
1000297501,48,BEAVER STREET,65396,8,D
1000297503,21,SOUTH WILLIAM STREET,25483,1,D
1000300005,80,PEARL STREET,85472,score missing,F
1000310001,10,HANOVER SQUARE,487404,15,D
1000317501,75,WALL STREET,683289,31,D
1000327501,43,WATER STREET,3678000,77,B
1000330001,77,WATER STREET,541568,84,B
1000330011,95,WALL STREET,473460,16,D
1000337501,101,WALL STREET,106598,13,D
1000350001,77,FRONT STREET,973587,44,D
1000350010,111,WALL STREET,990250,66,C
1000370008,110,WALL STREET,267570,19,D
1000370013,129,FRONT STREET,34613,13,D
1000370023,180,MAIDEN LANE,1079361,78,B
1000380001,100,WALL STREET,463664,54,D
1000380017,88,PINE STREET,664990,70,B
1000390001,82,WALL STREET,103297,score missing,F
1000390012,110,MAIDEN LANE,1104184,51,D
1000390038,126,WATER STREET,42568,32,D
1000397501,164,PEARL STREET,117641,2,D
1000400003,60,WALL STREET,1617206,72,B
1000400014,48,WALL STREET,281755,75,B
1000400016,52,WILLIAM STREET,119467,score missing,F
1000407501,73,PINE STREET,306787,score missing,F
1000410015,60,PINE STREET,49197,score missing,F
1000410024,62,WILLIAM STREET,42000,27,D
1000417501,50,PINE STREET,45352,59,C
1000417503,56,PINE STREET,81412,12,D
1000417504,66,PINE STREET,975719,1,D
1000420001,100,MAIDEN LANE,290116,21,D
1000420022,10,LIBERTY STREET,431000,5,D
1000420031,80,MAIDEN LANE,527605,89,A
1000420036,90,MAIDEN LANE,33529,85,A
1000430001,44,WALL STREET,289049,71,B
1000430002,40,WALL STREET,1061286,81,B
1000447501,18,PINE STREET,583639,70,B
1000460001,2,WALL STREET,173159,34,D
1000460003,100,BROADWAY,364390,75,B
1000460009,14,WALL STREET,839749,39,D
1000477501,120,BROADWAY,1736513,80,B
1000480001,140,BROADWAY,1141276,65,C
1000490002,111,BROADWAY,432093,63,C
1000500001,115,BROADWAY,396607,60,C
1000510001,101,GREENWICH STREET,400294,82,B
1000510013,86,TRINITY PLACE,181725,100,A
1000510015,90,TRINITY PLACE,83362,6,D
1000520001,96,TRINITY PLACE,102591,2,D
1000520008,133,GREENWICH STREET,130054,40,D
1000520021,120,LIBERTY STREET,57945,65,C
1000530002,99,WASHINGTON STREET,142236,37,D
1000530033,110,GREENWICH STREET,57941,23,D
1000530038,100,GREENWICH STREET,70918,32,D
1000537501,120,GREENWICH STREET,66872,21,D
1000537502,123,WASHINGTON STREET,396477,49,D
1000550014,71,WEST STREET,258071,35,D
1000550016,80,WEST STREET,420322,4,D
1000557501,40,RECTOR STREET,449355,73,B
1000560001,140,WASHINGTON STREET,181297,22,D
1000560004,90,WEST STREET,357001,73,B
1000627501,1,LIBERTY PLAZA,2139035,78,B
1000630003,22,CORTLANDT STREET,647875,47,D
1000630006,21,DEY STREET,49109,1,D
1000640008,53,LIBERTY STREET,167448,22,D
1000640009,59,LIBERTY STREET,30681,29,D
1000640012,150,BROADWAY,279669,78,B
1000640015,160,BROADWAY,125640,70,B
1000647502,170,BROADWAY,167280,63,C
1000650006,21,MAIDEN LANE,37800,2,D
1000650007,15,MAIDEN LANE,124910,88,A
1000650010,9,MAIDEN LANE,58354,2,D
1000650017,176,BROADWAY,168176,51,D
1000650024,24,JOHN STREET,50616,42,D
1000657501,65,NASSAU STREET,32342,2,D
1000657502,180,BROADWAY,149223,57,C
1000660001,19,LIBERTY STREET,640000,36,D
1000670001,59,MAIDEN LANE,1073000,81,B
1000670023,56,NASSAU STREET,558327,70,B
1000680007,83,MAIDEN LANE,155450,46,D
1000680011,75,MAIDEN LANE,155026,71,B
1000680016,84,WILLIAM STREET,122959,8,D
1000680028,15,GOLD STREET,71539,30,D
1000680036,100,WILLIAM STREET,377120,18,D
1000687502,90,WILLIAM STREET,126430,5,D
1000690006,211,PEARL STREET,222001,42,D
1000690018,2,GOLD STREET,627330,88,A
1000690030,4,PLATT STREET,114226,30,D
1000690032,116,JOHN STREET,338463,78,B
1000690053,110,JOHN STREET,68983,score missing,F
1000697502,90,JOHN STREET,372364,17,D
1000700032,180,WATER STREET,487950,95,A
1000700043,160,WATER STREET,481858,62,C
1000707501,125,MAIDEN LANE,343902,75,B
1000710001,156,FRONT STREET,52969,17,D
1000717501,175,WATER STREET,580000,70,B
1000720007,151,MAIDEN LANE,139891,score missing,F
1000720012,161,FRONT STREET,70044,28,D
1000720013,163,FRONT STREET,58500,score missing,F
1000720027,85,SOUTH STREET,52005,100,A
1000720031,80,SOUTH STREET,43818,score missing,F
1000747501,199,WATER STREET,995083,77,B
1000750001,127,JOHN STREET,541000,35,D
1000750021,40,FULTON STREET,234553,69,C
1000750030,111,JOHN STREET,296076,82,B
1000760001,64,FULTON STREET,40564,10,D
1000760006,56,FULTON STREET,101542,41,D
1000767501,15,CLIFF STREET,158477,55,C
1000767502,99,JOHN STREET,472059,16,D
1000770001,85,JOHN STREET,160000,36,D
1000770008,110,WILLIAM STREET,788241,68,C
1000770024,82,FULTON STREET,159000,2,D
1000780001,135,WILLIAM STREET,76988,93,A
1000780004,123,WILLIAM STREET,493039,81,B
1000780047,114,FULTON STREET,440553,67,C
1000787505,72,NASSAU STREET,32107,score missing,F
1000787507,111,WILLIAM STREET,97798,1,D
1000787508,45,JOHN STREET,81199,81,B
1000787510,110,FULTON STREET,25997,1,D
1000790010,17,JOHN STREET,111423,82,B
1000797502,130,FULTON STREET,71246,55,C
1000797503,71,NASSAU STREET,73121,1,D
1000800004,55,CHURCH STREET,383166,48,D
1000847501,140,WEST STREET,967206,score missing,F
1000880001,217,BROADWAY,133198,score missing,F
1000880002,14,VESEY STREET,30000,72,B
1000880005,20,VESEY STREET,80298,71,B
1000880010,30,VESEY STREET,71959,91,A
1000880014,10,BARCLAY STREET,531000,9,D
1000880018,225,BROADWAY,480831,78,B
1000890001,99,NASSAU STREET,100000,80,B
1000890003,26,ANN STREET,119889,100,A
1000890012,222,BROADWAY,756138,84,B
1000900017,113,NASSAU STREET,182499,13,D
1000907501,15,PARK ROW,420470,39,D
1000907503,5,BEEKMAN STREET,313980,1,D
1000910013,129,FULTON STREET,38320,46,D
1000917502,111,FULTON STREET,221213,11,D
1000920014,49,ANN STREET,56790,26,D
1000920024,116,NASSAU STREET,109173,86,A
1000920032,19,BEEKMAN STREET,25039,58,C
1000927501,33,BEEKMAN STREET,167396,72,B
1000927502,161,WILLIAM,177433,score missing,F
1000930001,81,FULTON STREET,463679,75,B
1000930034,57,BEEKMAN STREET,79079,100,A
1000937501,156,WILLIAM STREET,225368,56,C
1000940001,80,GOLD STREET,174160,73,B
1000950027,49,FULTON STREET,208576,52,D
1000957501,117,BEEKMAN STREET,43070,46,D
1000970018,213,FRONT STREET,40000,score missing,F
1000977503,220,FRONT STREET,33145,score missing,F
1000977505,241,WATER STREET,31844,score missing,F
1001000001,52,BEEKMAN STREET,301941,23,D
1001000026,138,NASSAU STREET,79422,49,D
1001007501,150,NASSAU STREET,194294,1,D
1001007502,8,SPRUCE STREET,1040589,36,D
1001010001,36,PARK ROW,111685,28,D
1001060017,320,PEARL STREET,27356,57,C
1001067502,324,PEARL STREET,37646,60,C
1001067504,264,WATER STREET,40203,14,D
1001070028,254,FRONT STREET,31715,68,C
1001070038,29,PECK SLIP,39747,11,D
1001137501,375,PEARL STREET,822318,63,C
1001170001,185,PARK ROW,473200,55,C
1001237501,233,BROADWAY,1008544,83,B
1001237502,30,PARK PLACE,715320,4,D
1001240004,11,PARK PLACE,205000,52,D
1001240011,25,PARK PLACE,26705,20,D
1001240024,250,BROADWAY,541195,74,B
1001250020,50,PARK PLACE,932587,78,B
1001260008,43,PARK PLACE,163340,score missing,F
1001260013,53,PARK PLACE,138600,13,D
1001260027,120,CHURCH STREET,620552,44,D
1001280002,101,BARCLAY STREET,1133549,77,B
1001280026,125,BARCLAY STREET,258000,69,C
1001327501,275,GREENWICH STREET,274175,9,D
1001337504,37,MURRAY STREET,26620,score missing,F
1001337510,55,WARREN STREET,35377,91,A
1001340025,258,BROADWAY,88320,23,D
1001347503,9,MURRAY STREET,112994,48,D
1001347505,25,MURRAY STREET,144330,15,D
1001350031,265,BROADWAY,29000,score missing,F
1001357501,261,BROADWAY,122000,74,B
1001357503,8,WARREN STREET,37765,score missing,F
1001367502,38,WARREN STREET,65635,8,D
1001370005,80,WARREN STREET,70000,61,C
1001400005,121,READE STREET,144568,60,C
